feature,n_pos,n_neg,mean_pos,mean_neg,cohen_d,u_stat,p_raw,p_bh,significant
f_anx_term_rate,3433,9701,0.026932385983375814,0.0023005040630291775,2.4688109203708226,32566930.0,0.0,0.0,True
f_anx_phrase_count,3433,9701,0.2950771919603845,0.04411916297288939,0.7417500750306064,20140620.5,8.848441615606903e-279,1.1502974100288973e-277,True
f_third_rate,3433,9701,0.008426328572306201,0.02041579528933614,-0.510546631463807,12385535.0,2.567628445295879e-118,1.3351667915538573e-117,True
f_avg_word_len,3433,9701,4.245354622782003,4.084112067131419,0.4714454020296931,21585143.0,3.2384670761922136e-147,2.806671466033252e-146,True
f_body_part_rate,3433,9701,0.006352389916760745,0.0033493597557473754,0.35372318821539706,19021527.0,6.506036435084604e-44,1.4096412276016644e-43,True
f_first_plur_rate,3433,9701,0.0015880183354644913,0.004363751526443379,-0.3408888206954055,13260731.5,9.768476504680126e-108,4.233006485361388e-107,True
f_sent_neg,3433,9701,0.15281270026216137,0.1288539325842697,0.3277655155107403,20389893.0,2.333154006162864e-85,8.666000594319208e-85,True
f_reassurance_count,3433,9701,0.18963006117098746,0.09256777651788475,0.29533353453511063,18220590.5,5.900848042131235e-50,1.3947459008673826e-49,True
f_sent_compound,3433,9701,-0.30567757063792605,-0.07473448098134212,-0.2861865081167034,14204827.0,1.3335061396040275e-37,2.1669474768565446e-37,True
f_n_tokens,3433,9701,181.06757937663852,244.99938150706112,-0.27193135256595885,14092102.0,5.539756398115428e-41,1.028811902507151e-40,True
f_question_rate,3433,9701,0.011763499341519318,0.00793351614920103,0.2604164275709198,19204845.0,9.413564332986206e-44,1.882712866597241e-43,True
f_n_sents,3433,9701,11.910573842120595,15.816719925780847,-0.25678049110178613,13796655.5,1.167516402467785e-50,3.0355426464162407e-50,True
f_health_anx_term_rate,3433,9701,0.000897888780941696,0.0002415073089190864,0.2526886065734993,17584819.5,5.710521482483669e-38,9.898237236305027e-38,True
f_n_chars,3433,9701,974.7273521701136,1283.4921142150295,-0.24816351348808346,14398563.0,3.842056202139275e-32,5.876085956213009e-32,True
f_flesch,3433,9701,65.53862662468656,71.12395516145388,-0.24319952155675245,11769318.5,3.110687517666905e-144,2.0219468864834883e-143,True
f_suic_term_rate,3433,9701,0.00019057242802652982,0.0011399861243089413,-0.22701599549556262,15227844.5,8.744268784051325e-53,2.8418873548166808e-52,True
f_sent_pos,3433,9701,0.10475123798427032,0.1157292031749304,-0.18244198137945739,14824935.5,1.085075504133329e-21,1.5673312837481418e-21,True
f_sent_neu,3433,9701,0.7424389746577338,0.7554206782805897,-0.15860910648662113,14853471.5,4.563525300109976e-21,6.244824094887336e-21,True
f_first_sing_rate,3433,9701,0.09840477267164688,0.10250338894158216,-0.09597966276558541,16048643.5,0.0015835316191819492,0.0018714464590332128,True
f_second_rate,3433,9701,0.010021566649449599,0.008229102884373467,0.09516077955537797,17376474.5,2.960066262861838e-05,3.664843944495608e-05,True
f_dep_term_rate,3433,9701,0.0028743980428511625,0.003628207896019531,-0.09455677188261147,15425802.5,1.238093006816014e-14,1.6095209088608183e-14,True
f_gunning_fog,3433,9701,11.22785970233678,10.444137121982815,0.09159472474630836,19562395.5,1.7871055028859813e-52,5.1627492305595014e-52,True
f_certainty_rate,3433,9701,0.00888704322778156,0.00840400059012021,0.03904415400136492,16529599.0,0.5015107504637919,0.5015107504637919,False
f_health_anx_phrase_count,3433,9701,0.006990969997087096,0.010308215647871353,-0.034303735887017794,16596528.5,0.0841255333146086,0.09113599442415932,False
f_uncertainty_rate,3433,9701,0.008196744899479275,0.007819255803069884,0.030944519977872297,16353173.0,0.09879609850177518,0.1027479424418462,False
f_avg_sent_len,3433,9701,16.42483698940565,16.30934838081348,0.01206304672444384,17003691.5,0.06529414577576399,0.07381077348564626,False
