feature,n_pos,n_neg,mean_pos,mean_neg,cohen_d,u_stat,p_raw,p_bh,significant
f_suic_term_rate,458,743421,0.03098466628859879,0.0002228814389071154,10.829677726162602,339505304.0,0.0,0.0,True
f_sent_neg,458,743421,0.2151484716157205,0.09409568602447337,1.3464158112617557,290495825.5,8.331330174591388e-154,1.0830729226968805e-152,True
f_sent_compound,458,743421,-0.6200986899563318,0.14444511481381345,-1.1976029954435188,59995914.0,2.7748598509537684e-127,2.404878537493266e-126,True
f_sent_neu,458,743421,0.6700982532751091,0.771285033648498,-0.8213806104128543,81231796.5,1.2079097619137023e-83,6.2811307619512524e-83,True
f_n_chars,458,743421,632.9825327510918,373.3494345734113,0.5099946389280934,259644157.0,2.422045935889158e-84,1.5743298583279526e-83,True
f_n_tokens,458,743421,116.73580786026201,69.6523114090132,0.5014418790806789,258091367.5,1.6310315143325683e-81,7.067803228774462e-81,True
f_n_sents,458,743421,7.679039301310044,4.875043884958859,0.45139019642851297,242116426.5,2.03767838366679e-56,7.568519710762363e-56,True
f_gunning_fog,458,743421,11.419893318776046,9.342066902616724,0.44682747648252985,220745698.0,4.14611917118155e-28,1.197767760563559e-27,True
f_flesch,458,743421,65.5786395810109,72.67929031243726,-0.40021989196106805,124188694.5,1.1894395356276804e-23,3.092542792631969e-23,True
f_avg_sent_len,458,743421,17.704255494504576,14.81785779315928,0.33496653278123534,206252642.0,4.557498750457482e-15,1.0772269773808595e-14,True
f_dep_term_rate,458,743421,0.0032254705123668085,0.0012724647365862432,0.2836463959383371,198566808.0,3.4156454310760465e-45,1.1100847650997151e-44,True
f_anx_term_rate,458,743421,0.0017180652524109135,0.004475230562857188,-0.20421978712852956,164379791.5,0.052102208665571935,0.061575337513857735,False
f_sent_pos,458,743421,0.11474890829694323,0.1346187664862843,-0.18089837194065012,161015682.5,0.04419552156458499,0.05471826479424809,False
f_reassurance_count,458,743421,0.03275109170305677,0.012403469904670436,0.1799294953192861,173750443.5,5.770565489878344e-05,7.896563301938787e-05,True
f_second_rate,458,743421,0.018811758524157132,0.025598499704764435,-0.1772275550827819,170538633.0,0.9449448244682368,0.9449448244682368,False
f_first_sing_rate,458,743421,0.07342481407365664,0.06486442334088587,0.1558389500756968,189945089.0,1.5932195723256642e-05,2.3013171600259594e-05,True
f_body_part_rate,458,743421,0.0018447309849564505,0.0036286748625202142,-0.15445360723219628,169309422.0,0.7553123917769287,0.8182550910916727,False
f_avg_word_len,458,743421,4.308839971678683,4.234606816456022,0.15405532650749695,191376388.0,4.225736070110367e-06,6.462890460168797e-06,True
f_third_rate,458,743421,0.01908384013391302,0.015577551932870281,0.12194652645340165,200864722.5,2.267129263097714e-14,4.534258526195428e-14,True
f_anx_phrase_count,458,743421,0.017467248908296942,0.03526131223088936,-0.0900877246590577,167240196.5,0.034505345433386174,0.04485694906340203,True
f_health_anx_term_rate,458,743421,0.00017387686281479094,0.0004798391508883251,-0.06713231821678993,169143170.0,0.3643275260015397,0.41184850765391445,False
f_question_rate,458,743421,0.005056024161053116,0.006140303857816333,-0.052851345900088116,184516209.5,3.039188022981133e-06,4.938680537344342e-06,True
f_first_plur_rate,458,743421,0.004637238268724154,0.003929487550722837,0.050714229593905265,183736742.5,1.2147083439141015e-06,2.1054944627844427e-06,True
f_certainty_rate,458,743421,0.010826844452227197,0.011197688874839497,-0.0132894760403005,197862409.5,1.4810193645767613e-14,3.208875289916316e-14,True
f_health_anx_phrase_count,458,743421,0.002183406113537118,0.0019316107562202306,0.005706639129386159,170287875.0,0.8984883459988994,0.9344278798388553,False
f_uncertainty_rate,458,743421,0.009739761986132764,0.009717030042996238,0.0009275102690031466,195990137.5,5.80659720029754e-13,1.078368051483829e-12,True
