feature,n_pos,n_neg,mean_pos,mean_neg,cohen_d,u_stat,p_raw,p_bh,significant
f_dep_term_rate,1557,14825,0.020859081213086644,0.0020164004246072623,2.8598345565112733,22441155.0,0.0,0.0,True
f_sent_neg,1557,14825,0.1833776493256262,0.1314431703204047,0.7087391376587103,16333349.5,1.6889113616604057e-160,2.1955847701585273e-159,True
f_sent_neu,1557,14825,0.7043127809890816,0.7554066779089377,-0.6213005321604831,7336019.5,4.6816518110035444e-124,4.057431569536405e-123,True
f_sent_compound,1557,14825,-0.4647182402055235,-0.10686362225969644,-0.4450490138749666,8602450.0,1.478173335730424e-61,9.608126682247755e-61,True
f_third_rate,1557,14825,0.010272344682809423,0.016769724168923153,-0.2827563943425377,9759676.5,1.8395203269435332e-25,5.314169833392429e-25,True
f_first_plur_rate,1557,14825,0.0015387702553674976,0.0038986013679355278,-0.2754125023339191,9600704.0,1.7937266568079608e-42,9.327378615401396e-42,True
f_n_tokens,1557,14825,162.14964675658317,228.6694097807757,-0.2684632945875636,9635314.0,6.855045183951025e-27,2.5461596397532382e-26,True
f_first_sing_rate,1557,14825,0.10970060268590538,0.09803259968162313,0.26717977393334597,13476668.0,1.1208104110793102e-27,4.856845114677011e-27,True
f_n_chars,1557,14825,862.6319845857419,1206.2253625632377,-0.2627170745019468,9675501.0,7.758140927833137e-26,2.5213958015457694e-25,True
f_n_sents,1557,14825,11.54913294797688,15.115413153456998,-0.21631789244167582,9890060.5,1.2634534979162327e-20,2.9863446314383683e-20,True
f_anx_term_rate,1557,14825,0.005022430907458816,0.007967653202263681,-0.21230263322015855,10324367.0,9.248845783930075e-14,2.003916586518183e-13,True
f_body_part_rate,1557,14825,0.0031980693985214944,0.005021958996185402,-0.18893683180933898,9924929.5,5.383934287698149e-24,1.3998229148015188e-23,True
f_anx_phrase_count,1557,14825,0.06294155427103404,0.10414839797639124,-0.12070362387704475,11172029.5,2.3250758786635676e-05,3.5559984026619265e-05,True
f_suic_term_rate,1557,14825,0.0012411834870366674,0.0007975651497627472,0.10871166441898426,12109704.0,2.2328424658088685e-11,4.465684931617737e-11,True
f_health_anx_term_rate,1557,14825,0.0002998403389597508,0.0006619390909027928,-0.106867565115887,11132232.0,1.308568661186585e-07,2.430198942203658e-07,True
f_avg_word_len,1557,14825,4.179043609434842,4.141909755761128,0.1061737472326036,12312475.5,1.396772377085584e-05,2.421072120281679e-05,True
f_certainty_rate,1557,14825,0.009466405602172113,0.008377778342775625,0.0871335453690669,11540494.5,0.996360253352399,0.996360253352399,False
f_question_rate,1557,14825,0.008284161555947585,0.009132116552691675,-0.057820282262463336,10851168.5,5.1617544759947774e-05,7.455867576436901e-05,True
f_reassurance_count,1557,14825,0.10340398201669879,0.1224283305227656,-0.056652137653378405,11345681.5,0.04808253394289421,0.06250729412576247,False
f_gunning_fog,1557,14825,10.833564655539742,10.459474507529665,0.04528077903881417,11635652.0,0.5949278650013198,0.6445051870847631,False
f_flesch,1557,14825,69.06287464312152,69.95997613914834,-0.04014993040087114,11400433.0,0.4275957224889304,0.5294042278434377,False
f_second_rate,1557,14825,0.0090858909931709,0.008430403882647073,0.03533077903567995,11442391.0,0.5378867792294348,0.6080459243463177,False
f_uncertainty_rate,1557,14825,0.007643675279103724,0.008034562818363823,-0.03150652975087491,10897634.0,0.000124110132378861,0.0001698349179921256,True
f_avg_sent_len,1557,14825,15.795992603438867,16.06011239879945,-0.025383724002554665,10780086.0,1.8041400890070684e-05,2.931727644636486e-05,True
f_health_anx_phrase_count,1557,14825,0.006422607578676943,0.008229342327150084,-0.02020825374640502,11520410.5,0.4481238983759043,0.5296009708078869,False
f_sent_pos,1557,14825,0.11229094412331406,0.11315298482293423,-0.014071412334903631,11519812.5,0.9038236271719877,0.9399765722588672,False
