model,clean_f1,clean_f1_std,masked_f1,masked_f1_std,clean_auroc,masked_auroc,f1_drop,auroc_drop
TF-IDF (n=5 seeds),0.8871,0.0063,0.8376,0.0117,0.9378,0.8993,0.0495,0.0384
MentalRoBERTa (1 seed),0.9091,0.0,0.8546,0.0,0.9581,0.9263,0.0545,0.0318
